fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
propane,39.5,1.3120627258284994,1635.167324553296,7.75,3.8993089832181633,3,3324.0327875680664,3117.159710725997,2820.809325845993,224.27269038803607,1.171044446507478
propane,39.5,1.3120627258284994,1635.167324553296,7.75,3.8993089832181633,2,3324.0327875680664,3117.159710725997,2820.809325845993,224.27269038803607,1.171044446507478
methane,39.5,1.302821566585158,1690.5051767084594,7.75,3.8993089832181633,3,3318.195609050637,3094.6936683040226,2771.2012425671346,231.52161995192375,1.1891244459744312
methane,39.5,1.302821566585158,1690.5051767084594,7.75,3.8993089832181633,2,3318.195609050637,3094.6936683040226,2771.2012425671346,231.52161995192375,1.1891244459744312
propane,39.5,1.3076883430693398,1636.7539355664132,7.5,3.8993089832181633,3,3312.307001514807,3098.856384486043,2790.16257789011,224.323707893562,1.1801652813335377
propane,39.5,1.3076883430693398,1636.7539355664132,7.5,3.8993089832181633,2,3312.307001514807,3098.856384486043,2790.16257789011,224.323707893562,1.1801652813335377
methane,39.5,1.2987834660045792,1691.5553373144776,7.5,3.8993089832181633,3,3298.4015939909787,3067.5038238250804,2734.010558745818,231.5295476905712,1.1967865594155898
methane,39.5,1.2987834660045792,1691.5553373144776,7.5,3.8993089832181633,2,3298.4015939909787,3067.5038238250804,2734.010558745818,231.5295476905712,1.1967865594155898
propane,39.5,1.3028129577583436,1637.353683409391,7.25,3.8993089832181633,3,3296.220875146553,3074.8405282606705,2753.0199746372405,224.22976171091665,1.1898860009616363
propane,39.5,1.3028129577583436,1637.353683409391,7.25,3.8993089832181633,2,3296.220875146553,3074.8405282606705,2753.0199746372405,224.22976171091665,1.1898860009616363
propane,39.5,1.2976682194229323,1636.8091840225904,7.0,3.8993089832181633,3,3275.0150816036635,3044.417126217272,2709.644268551024,223.9836538052068,1.1996649135404749
propane,39.5,1.2976682194229323,1636.8091840225904,7.0,3.8993089832181633,2,3275.0150816036635,3044.417126217272,2709.644268551024,223.9836538052068,1.1996649135404749
methane,39.5,1.294713636255454,1691.8236743675525,7.25,3.8993089832181633,3,3274.327000456212,3035.499752864515,2692.731319417945,231.44057846815107,1.2043156147266707
methane,39.5,1.294713636255454,1691.8236743675525,7.25,3.8993089832181633,2,3274.327000456212,3035.499752864515,2692.731319417945,231.44057846815107,1.2043156147266707
propane,39.5,1.2924979256552402,1634.99777658015,6.75,3.8993089832181633,3,3247.908310311236,3007.0935454244,2660.4832342053883,223.5822106224296,1.2090882579218214
propane,39.5,1.2924979256552402,1634.99777658015,6.75,3.8993089832181633,2,3247.908310311236,3007.0935454244,2660.4832342053883,223.5822106224296,1.2090882579218214
methane,39.5,1.2906927583467218,1691.2728236813289,7.0,3.8993089832181633,3,3245.589470075151,2998.5276962672683,2647.562662255616,231.25309638272356,1.2116243456040117
methane,39.5,1.2906927583467218,1691.2728236813289,7.0,3.8993089832181633,2,3245.589470075151,2998.5276962672683,2647.562662255616,231.25309638272356,1.2116243456040117
propane,39.5,1.287496008623163,1631.8432562985831,6.5,3.8993089832181633,3,3214.152710645016,2962.5833627988627,2606.013149069291,223.0236513845748,1.2179434084930436
propane,39.5,1.287496008623163,1631.8432562985831,6.5,3.8993089832181633,2,3214.152710645016,2962.5833627988627,2606.013149069291,223.0236513845748,1.2179434084930436
methane,39.5,1.2867712073559132,1689.875699196725,6.75,3.8993089832181633,3,3211.8407311140404,2956.505881086144,2598.6933495703265,230.9624255081388,1.2186850369539366
methane,39.5,1.2867712073559132,1689.875699196725,6.75,3.8993089832181633,2,3211.8407311140404,2956.505881086144,2598.6933495703265,230.9624255081388,1.2186850369539366
C2H5OH,39.5,1.3239527010035357,1580.0935848564266,5.25,3.8993089832181633,3,3198.4151034613105,3016.402801607309,2762.911638005224,217.13292806415015,1.1460886441352864
C2H5OH,39.5,1.3239527010035357,1580.0935848564266,5.25,3.8993089832181633,2,3198.4151034613105,3016.402801607309,2762.911638005224,217.13292806415015,1.1460886441352864
C2H5OH,39.5,1.3252484630210135,1574.2477052009126,5.5,3.8993089832181633,3,3197.2000903441376,3016.828761046489,2767.3288604808763,216.3811533861254,1.1431220215506537
C2H5OH,39.5,1.3252484630210135,1574.2477052009126,5.5,3.8993089832181633,2,3197.2000903441376,3016.828761046489,2767.3288604808763,216.3811533861254,1.1431220215506537
C2H5OH,39.5,1.3209613436150107,1584.930163856512,5.0,3.8993089832181633,3,3194.684538792033,3009.084980514115,2746.7642559098367,217.6772460489213,1.1529709959948264
C2H5OH,39.5,1.3209613436150107,1584.930163856512,5.0,3.8993089832181633,2,3194.684538792033,3009.084980514115,2746.7642559098367,217.6772460489213,1.1529709959948264
C2H5OH,39.5,1.3254393520821206,1567.8027365333332,5.75,3.8993089832181633,3,3192.4040153258416,3012.377873463373,2763.671074450056,215.50290160389744,1.1426681421979663
C2H5OH,39.5,1.3254393520821206,1567.8027365333332,5.75,3.8993089832181633,2,3192.4040153258416,3012.377873463373,2763.671074450056,215.50290160389744,1.1426681421979663
C2H5OH,39.5,1.3249362026351983,1561.024893310227,6.0,3.8993089832181633,3,3184.9964696709826,3004.4526454930524,2754.548253901632,214.5520941857811,1.1437314689577005
C2H5OH,39.5,1.3249362026351983,1561.024893310227,6.0,3.8993089832181633,2,3184.9964696709826,3004.4526454930524,2754.548253901632,214.5520941857811,1.1437314689577005
C2H5OH,39.5,1.3156773372015584,1588.1505532969634,4.75,3.8993089832181633,3,3184.096334107056,2992.064520492806,2714.649617032492,217.90996072763443,1.1648667264395436
C2H5OH,39.5,1.3156773372015584,1588.1505532969634,4.75,3.8993089832181633,2,3184.096334107056,2992.064520492806,2714.649617032492,217.90996072763443,1.1648667264395436
C2H5OH,39.5,1.3239949392708856,1554.0850641123388,6.25,3.8993089832181633,3,3175.671545546446,2994.0286967762904,2741.711120060648,213.5629617582534,1.145711787799778
C2H5OH,39.5,1.3239949392708856,1554.0850641123388,6.25,3.8993089832181633,2,3175.671545546446,2994.0286967762904,2741.711120060648,213.5629617582534,1.145711787799778
propane,39.5,1.28277429739683,1627.310120202405,6.25,3.8993089832181633,3,3173.0920519055558,2910.8243941421088,2546.6782942037803,222.30189192802493,1.2261900096057878
propane,39.5,1.28277429739683,1627.310120202405,6.25,3.8993089832181633,2,3173.0920519055558,2910.8243941421088,2546.6782942037803,222.30189192802493,1.2261900096057878
methane,39.5,1.2829711448055898,1687.6072248097337,6.5,3.8993089832181633,3,3172.770347719605,2909.390044723344,2546.15213266064,230.56846828502464,1.225516880179753
methane,39.5,1.2829711448055898,1687.6072248097337,6.5,3.8993089832181633,2,3172.770347719605,2909.390044723344,2546.15213266064,230.56846828502464,1.225516880179753
C2H5OH,39.5,1.3227722150642187,1547.093026553133,6.5,3.8993089832181633,3,3164.932284692017,2981.793233154302,2726.3296700435103,212.5570292108256,1.1482575868678329
C2H5OH,39.5,1.3227722150642187,1547.093026553133,6.5,3.8993089832181633,2,3164.932284692017,2981.793233154302,2726.3296700435103,212.5570292108256,1.1482575868678329
C2H5OH,39.5,1.3080701931142915,1588.9406751319807,4.5,3.8993089832181633,3,3164.0398681177253,2961.74926941679,2663.679915938195,217.72740986515907,1.1808117753555587
C2H5OH,39.5,1.3080701931142915,1588.9406751319807,4.5,3.8993089832181633,2,3164.0398681177253,2961.74926941679,2663.679915938195,217.72740986515907,1.1808117753555587
C2H5OH,39.5,1.3213660454908056,1540.119782605642,6.75,3.8993089832181633,3,3153.1484976284937,2968.242367443928,2709.2002138914977,211.5480363546795,1.1511576071800076
C2H5OH,39.5,1.3213660454908056,1540.119782605642,6.75,3.8993089832181633,2,3153.1484976284937,2968.242367443928,2709.2002138914977,211.5480363546795,1.1511576071800076
C2H5OH,39.5,1.3198403497313362,1533.2113065785732,7.0,3.8993089832181633,3,3140.5962914566344,2953.7268399804743,2690.8571950050086,210.5468143924097,1.1542793133370726
C2H5OH,39.5,1.3198403497313362,1533.2113065785732,7.0,3.8993089832181633,2,3140.5962914566344,2953.7268399804743,2690.8571950050086,210.5468143924097,1.1542793133370726
C2H5OH,39.5,1.299187540471979,1586.4139628136695,4.25,3.8993089832181633,3,3131.1780686093102,2914.3665617267475,2594.2505499590748,217.07957709506528,1.1974794415101786
C2H5OH,39.5,1.299187540471979,1586.4139628136695,4.25,3.8993089832181633,2,3131.1780686093102,2914.3665617267475,2594.2505499590748,217.07957709506528,1.1974794415101786
methane,39.5,1.27929411552482,1684.4350778580194,6.25,3.8993089832181633,3,3128.1003021083607,2857.142098753911,2489.985241765168,230.06391303063305,1.232154579799265
methane,39.5,1.27929411552482,1684.4350778580194,6.25,3.8993089832181633,2,3128.1003021083607,2857.142098753911,2489.985241765168,230.06391303063305,1.232154579799265
C2H5OH,39.5,1.3182387598790302,1526.397417102516,7.25,3.8993089832181633,3,3127.484731050285,2938.5250362922293,2671.751869430072,209.5547053857981,1.1575315758276798
C2H5OH,39.5,1.3182387598790302,1526.397417102516,7.25,3.8993089832181633,2,3127.484731050285,2938.5250362922293,2671.751869430072,209.5547053857981,1.1575315758276798
propane,39.5,1.2783652991602563,1621.380878399816,6.0,3.8993089832181633,3,3124.201672979833,2851.8949104053645,2482.6238943798576,221.4171431160178,1.2339042207829416
propane,39.5,1.2783652991602563,1621.380878399816,6.0,3.8993089832181633,2,3124.201672979833,2851.8949104053645,2482.6238943798576,221.4171431160178,1.2339042207829416
C2H5OH,39.5,1.3165924029105447,1519.6973932229969,7.5,3.8993089832181633,3,3113.9740902125955,2922.837670709503,2652.152700048434,208.57791975787327,1.1608525550025053
C2H5OH,39.5,1.3165924029105447,1519.6973932229969,7.5,3.8993089832181633,2,3113.9740902125955,2922.837670709503,2652.152700048434,208.57791975787327,1.1608525550025053
C2H5OH,39.5,1.31492433161176,1513.1234286175015,7.75,3.8993089832181633,3,3100.188980245847,2906.822065667806,2632.2807081090464,207.61904789380688,1.1641962934270305
C2H5OH,39.5,1.31492433161176,1513.1234286175015,7.75,3.8993089832181633,2,3100.188980245847,2906.822065667806,2632.2807081090464,207.61904789380688,1.1641962934270305
C2H5OH,39.5,1.2905823232481184,1579.9385275240015,4.0,3.8993089832181633,3,3081.770350684119,2847.3908708956974,2509.406071023158,215.96522588531124,1.212084802856061
C2H5OH,39.5,1.2905823232481184,1579.9385275240015,4.0,3.8993089832181633,2,3081.770350684119,2847.3908708956974,2509.406071023158,215.96522588531124,1.212084802856061
methane,39.5,1.2757296836388097,1680.310941098677,6.0,3.8993089832181633,3,3077.570938106552,2799.702964313159,2430.155888539939,229.4405050890065,1.238641578921035
methane,39.5,1.2757296836388097,1680.310941098677,6.0,3.8993089832181633,2,3077.570938106552,2799.702964313159,2430.155888539939,229.4405050890065,1.238641578921035
propane,39.5,1.274247325007115,1614.0266448654047,5.75,3.8993089832181633,3,3067.0915237052354,2785.910198736712,2413.9745193719805,220.35788212096688,1.2411978213714163
propane,39.5,1.274247325007115,1614.0266448654047,5.75,3.8993089832181633,2,3067.0915237052354,2785.910198736712,2413.9745193719805,220.35788212096688,1.2411978213714163
methane,39.5,1.2722620340677064,1675.1644316374925,5.75,3.8993089832181633,3,3020.9210762836155,2736.9747257321487,2366.577071735442,228.6870516335309,1.245018952328271
methane,39.5,1.2722620340677064,1675.1644316374925,5.75,3.8993089832181633,2,3020.9210762836155,2736.9747257321487,2366.577071735442,228.6870516335309,1.245018952328271
C2H5OH,39.5,1.2832007200267543,1569.3831878236815,3.75,3.8993089832181633,3,3012.4915478222697,2760.5783138861475,2412.225317242672,214.3937380365184,1.2240537281865718
C2H5OH,39.5,1.2832007200267543,1569.3831878236815,3.75,3.8993089832181633,2,3012.4915478222697,2760.5783138861475,2412.225317242672,214.3937380365184,1.2240537281865718
propane,39.5,1.2703721991362118,1605.1819194499344,5.5,3.8993089832181633,3,3001.468327757926,2712.935744806269,2340.68647480378,219.10975953706247,1.2481896766434186
propane,39.5,1.2703721991362118,1605.1819194499344,5.5,3.8993089832181633,2,3001.468327757926,2712.935744806269,2340.68647480378,219.10975953706247,1.2481896766434186
methane,39.5,1.268876035365952,1668.8978781556937,5.5,3.8993089832181633,3,2957.86652298097,2668.811623740924,2299.1182103681267,227.7891829099988,1.2513257150756647
methane,39.5,1.268876035365952,1668.8978781556937,5.5,3.8993089832181633,2,2957.86652298097,2668.811623740924,2299.1182103681267,227.7891829099988,1.2513257150756647
propane,39.5,1.266686524173511,1594.729014210186,5.25,3.8993089832181633,3,2927.071256941963,2632.937813771767,2262.61141270138,217.65253161749263,1.254990442577654
propane,39.5,1.266686524173511,1594.729014210186,5.25,3.8993089832181633,2,2927.071256941963,2632.937813771767,2262.61141270138,217.65253161749263,1.254990442577654
C2H5OH,39.5,1.2771262781045507,1554.913674774543,3.5,3.8993089832181633,3,2921.3396255877383,2655.3532974704203,2304.2843236439467,212.36441655278767,1.234014634017514
C2H5OH,39.5,1.2771262781045507,1554.913674774543,3.5,3.8993089832181633,2,2921.3396255877383,2655.3532974704203,2304.2843236439467,212.36441655278767,1.234014634017514
methane,39.5,1.265558251276948,1661.3830834552496,5.25,3.8993089832181633,3,2888.080505390406,2595.019176092673,2227.6122602053283,226.72859866803688,1.257596094721676
methane,39.5,1.265558251276948,1661.3830834552496,5.25,3.8993089832181633,2,2888.080505390406,2595.019176092673,2227.6122602053283,226.72859866803688,1.257596094721676
propane,39.5,1.2631406305802484,1582.4900327231117,5.0,3.8993089832181633,3,2843.604352613806,2545.7682790425392,2179.516904968784,215.95894337697592,1.2616978524082796
propane,39.5,1.2631406305802484,1582.4900327231117,5.0,3.8993089832181633,2,2843.604352613806,2545.7682790425392,2179.516904968784,215.95894337697592,1.2616978524082796
methane,39.5,1.2622979119339737,1652.457100429149,5.0,3.8993089832181633,3,2811.180580410628,2515.3578268938254,2151.857873007545,225.48250590697896,1.263867777803714
methane,39.5,1.2622979119339737,1652.457100429149,5.0,3.8993089832181633,2,2811.180580410628,2515.3578268938254,2151.857873007545,225.48250590697896,1.263867777803714
C2H5OH,39.5,1.272029317043117,1536.5508124617538,3.25,3.8993089832181633,3,2807.777467201385,2533.224197838613,2185.9768573240085,209.8389842405176,1.2427417231880065
C2H5OH,39.5,1.272029317043117,1536.5508124617538,3.25,3.8993089832181633,2,2807.777467201385,2533.224197838613,2185.9768573240085,209.8389842405176,1.2427417231880065
